#GPCCHS 2.0.0.2 15/05/2018 etat-fa.txt


FT en cours de traitement :
===========================
# ref_client | etat | date_emission | auteur | titre | gravite | contournement
ISIS-FT-3105|En attente|2018-05-02 07:51:34||filtrage provider TM VIMA comboBox|D|None
ISIS-FT-3106|Ouvert|2018-05-02 07:51:34||champs filtrage domain/timeline VIMA|D|None
ISIS-FT-3107|Ouvert|2018-05-02 07:51:34||perfo VIMA et TBD pour param?tres d'en-t?te|P|None
ISIS-FT-3108|Ouvert|2018-05-02 07:51:34||filter sub-data entryPoint VIMA|D|None
ISIS-FT-3109|Ouvert|2018-05-02 07:51:34||drag&drop RTE to VIMA|D|None
ISIS-FT-3110|Ouvert|2018-05-02 07:51:34||subdata filter dans refonte entryPoint|D|None
ISIS-FT-3111|Ouvert|2018-05-02 07:51:34||ergonomie ground alarm view|None|None
ISIS-FT-3112|Ouvert|2018-05-02 07:51:34||test ground alarm incomplet|None|None
ISIS-FT-3117|Ouvert|2018-05-02 07:51:35||test time bar incomplet|None|None


FT deja livre en attente de cloture :
=====================================
# ref_client | etat | date_emission | auteur | titre | gravite | version correction
ISIS-FT-1605|Livr?|2016-04-04 14:58:20||Fichier de log VIMA trop volumineux pendant la r?ception de param?tres TM|D|0.1.2.6
ISIS-FT-1632|Livr?|2016-04-13 14:23:05||Les param?tres TM de type Absolutetime sont affich? avec un d?calage de 30 ans par rapport ? la valeur attendue|D|0.1.2.6
ISIS-FT-1922|Livr?|2017-03-20 17:05:31||DataStore Explorer associ? ? VIMA JS|None|1.1.0
ISIS-FT-1928|Livr?|2017-03-20 17:05:31||injecteur de donn?es VIMA JS|None|1.1.2
ISIS-FT-1937|Livr?|2017-03-21 17:15:17||conversion d'unit?s|None|2.0.0-rc4.2
ISIS-FT-1968|Livr?|2017-03-23 07:58:39||?diteur de vue VIMA JS|None|1.1.0.5
ISIS-FT-1970|Livr?|2017-03-23 07:58:39||idSession dans le session time properties et idSession/Domain conf DC de la ligne d'essai VIMA|None|1.1.0.6
ISIS-FT-1992|Livr?|2017-03-23 17:50:51||custom color plot VIMA JS|None|2.0.0
ISIS-FT-1994|Livr?|2017-03-23 17:50:51||textual data plot VIMA JS|None|2.0.0
ISIS-FT-2032|Livr?|2017-03-28 16:24:40||on board alarm VIMA Qt|None|1.1.0.8
ISIS-FT-2036|Livr?|2017-03-28 16:24:40||ground alarm injecteur VIMA Qt|None|2.0.0-rc1
ISIS-FT-2058|Livr?|2017-03-30 07:08:02||Trop de logs produits par VIMA Qt|D|
ISIS-FT-2078|Livr?|2017-04-12 13:40:07||probl?mes perfo VIMA JS|None|1.1.0.9
ISIS-FT-2107|Livr?|2017-04-28 16:05:08||Saisie des valeurs des bornes pour une PlotView|N|1.1.2-rc2
ISIS-FT-2138|Livr?|2017-05-12 15:42:59||darg&drop depuis DSEX inop?rant|D|1.1.2.3
ISIS-FT-2159|Livr?|2017-06-19 08:48:28||editeur champ flowType VIMA JS|N|2.0.0-rc4.3
ISIS-FT-2215|Livr?|2017-10-10 09:00:49||acc?s complet aux paquets 3.25 et 3.26 dans VIMA|D|2.0.0-rc4.2
ISIS-FT-2228|Livr?|2017-10-10 15:36:03||test decommutedPacket non repr?sentatif VIMA|N|2.0.0
ISIS-FT-2234|Livr?|2017-10-10 15:36:03||perte donn?es cache lors de suppression de timeLine session dans VIMA|D|1.1.2.5
ISIS-FT-2236|Livr?|2017-10-10 15:36:03||base utilis?e pour les tests TV VIMA|N|2.0.0
ISIS-FT-2238|Livr?|2017-10-10 15:36:03||drag&drop paquet dans dynamicView VIMA|N|2.0.0
ISIS-FT-2240|Livr?|2017-10-10 15:36:03||widget raccourcis add view page workspace ep VIMA|N|2.0.0
ISIS-FT-2241|Livr?|2017-10-10 15:36:03||editeur et multi pages VIMA|D|2.0.0
ISIS-FT-2243|Livr?|2017-10-10 15:36:03||affichage des donn?es al?atoire VIMA|D|1.1.2.4
ISIS-FT-2248|Livr?|2017-10-10 15:36:03||filters sur param?tres TM VIMA|D|1.1.2.5
ISIS-FT-2254|Livr?|2017-10-11 16:40:03||mode normal timeBar VIMA|N|2.0.0
ISIS-FT-2255|Livr?|2017-10-11 16:40:04||mode fixed timeBar VIMA|N|2.0.0
ISIS-FT-2256|Livr?|2017-10-11 16:40:04||raccourcis dangereux op?rationnellement|N|2.0.0-rc4.2
ISIS-FT-2258|Livr?|2017-10-11 16:40:04||ergonomie timeBar VIMA|N|2.0.0-rc4.2
ISIS-FT-2265|Livr?|2017-10-11 16:40:04||workspace et timeBar VIMA|N|2.0.0-rc4.2
ISIS-FT-2266|Livr?|2017-10-11 16:40:04||?diteur page VIMA|N|2.0.0
ISIS-FT-2267|Livr?|2017-10-11 16:40:04||cr?ation page VIMA|N|2.0.0
ISIS-FT-2277|Livr?|2017-10-11 16:40:04||surveillance du monitoringState pour param?tres TM VIMA|D|1.1.2.4
ISIS-FT-2280|Livr?|2017-10-11 16:40:04||ergonomie plotView VIMA|N|2.0.0
